Rewards,[44.75014742 17.26701046 41.24022703  3.04313466]
Penalties,[ 6.27517732 30.15755115 26.96105075 21.521564  ]
defenderID,attackerID,Value(Defender payoff)
21,9,-4.254553539518381
21,10,23.228583421088018
21,11,23.228583421088018
21,12,23.228583421088018
21,13,23.228583421088018
21,14,23.228583421088018
21,15,23.228583421088018
21,16,-48.48261474672432
21,17,17.78909667291582
21,18,17.78909667291582
21,19,17.78909667291582
21,20,17.78909667291582
0,21,34.965049712971336
1,21,34.965049712971336
2,21,34.965049712971336
3,21,34.965049712971336
4,21,34.965049712971336
5,21,34.965049712971336
6,21,34.965049712971336
7,21,34.965049712971336
8,21,34.965049712971336
9,21,70.68277702902988
10,21,-33.23622806431069
11,21,17.78909667291582
12,21,34.965049712971336
13,21,34.965049712971336
14,21,17.78909667291582
15,21,-33.23622806431069
16,21,-33.23622806431069
17,21,17.78909667291582
18,21,-33.23622806431069
19,21,-33.23622806431069
20,21,-33.23622806431069
21,21,17.78909667291582
22,0,-4.254553539518381
22,1,-4.254553539518381
22,2,-4.254553539518381
22,3,-9.694040287690575
