iteration,action list,network estimate list,action chosen
138,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.1258992850780487, 0.1258992850780487]","[0, 0, 1, 0]"
139,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.12518781423568726, 0.12518781423568726, 0.12518781423568726, 0.12518781423568726]","[1, 0, 0, 0]"
140,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.12439542263746262, 0.12439542263746262, 0.12439542263746262]","[0, 1, 0, 0]"
141,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.12361377477645874, 0.12361377477645874]","[0, 0, 1, 0]"
142,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.12284110486507416, 0.12284110486507416, 0.12284110486507416, 0.12284110486507416]","[1, 0, 0, 0]"
143,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.12216639518737793, 0.12216639518737793, 0.12216639518737793]","[0, 1, 0, 0]"
144,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.12149033695459366, 0.12149033695459366]","[0, 0, 1, 0]"
145,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.12090271711349487, 0.12090271711349487, 0.12090271711349487, 0.12090271711349487]","[1, 0, 0, 0]"
146,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.12039586901664734, 0.12039586901664734, 0.12039586901664734]","[0, 1, 0, 0]"
147,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.11978333443403244, 0.11978333443403244]","[0, 0, 1, 0]"
148,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.11925332248210907, 0.11925332248210907, 0.11925332248210907, 0.11925332248210907]","[1, 0, 0, 0]"
149,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.11862052977085114, 0.11862052977085114, 0.11862052977085114]","[0, 1, 0, 0]"
150,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.11798234283924103, 0.11798234283924103]","[0, 0, 1, 0]"
151,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.11742919683456421, 0.11742919683456421, 0.11742919683456421, 0.11742919683456421]","[1, 0, 0, 0]"
152,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.11686243116855621, 0.11686243116855621, 0.11686243116855621]","[0, 1, 0, 0]"
153,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.11628320813179016, 0.11628320813179016]","[0, 0, 1, 0]"
154,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.11578372120857239, 0.11578372120857239, 0.11578372120857239, 0.11578372120857239]","[1, 0, 0, 0]"
155,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.11535709351301193, 0.11535709351301193, 0.11535709351301193]","[0, 1, 0, 0]"
156,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.11490356922149658, 0.11490356922149658]","[0, 0, 1, 0]"
157,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.11451811343431473, 0.11451811343431473, 0.11451811343431473, 0.11451811343431473]","[1, 0, 0, 0]"
158,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[0.11419494450092316, 0.11419494450092316, 0.11419494450092316]","[0, 1, 0, 0]"
159,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[0.11374247074127197, 0.11374247074127197]","[0, 0, 1, 0]"
