iteration,action list,network estimate list,action chosen
141,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1521078497171402, -0.1521078497171402]","[0, 0, 1, 0]"
142,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.15311558544635773, -0.15311558544635773, -0.15311558544635773, -0.15311558544635773]","[1, 0, 0, 0]"
143,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.15414731204509735, -0.15414731204509735, -0.15414731204509735]","[0, 1, 0, 0]"
144,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.15518364310264587, -0.15518364310264587]","[0, 0, 1, 0]"
145,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.15622353553771973, -0.15622353553771973, -0.15622353553771973, -0.15622353553771973]","[1, 0, 0, 0]"
146,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.15726207196712494, -0.15726207196712494, -0.15726207196712494]","[0, 1, 0, 0]"
147,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1582970768213272, -0.1582970768213272]","[0, 0, 1, 0]"
148,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.15931592881679535, -0.15931592881679535, -0.15931592881679535, -0.15931592881679535]","[1, 0, 0, 0]"
149,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.16033333539962769, -0.16033333539962769, -0.16033333539962769]","[0, 1, 0, 0]"
150,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1613394021987915, -0.1613394021987915]","[0, 0, 1, 0]"
151,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.16234475374221802, -0.16234475374221802, -0.16234475374221802, -0.16234475374221802]","[1, 0, 0, 0]"
152,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.16334758698940277, -0.16334758698940277, -0.16334758698940277]","[0, 1, 0, 0]"
153,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1643480509519577, -0.1643480509519577]","[0, 0, 1, 0]"
154,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.16535091400146484, -0.16535091400146484, -0.16535091400146484, -0.16535091400146484]","[1, 0, 0, 0]"
155,"[[0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.1663491427898407, -0.1663491427898407, -0.1663491427898407]","[0, 1, 0, 0]"
156,"[[0, 0, 1, 0], [0, 0, 0, 1]]","[-0.16733811795711517, -0.16733811795711517]","[0, 0, 1, 0]"
157,"[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]","[-0.16832812130451202, -0.16832812130451202, -0.16832812130451202, -0.16832812130451202]","[1, 0, 0, 0]"
